prob_red,prob_white,prediction,category
0.9999997613740117,2.3862598825431864e-07,red,red
0.9999996553325957,3.4466740433509373e-07,red,red
0.9999996332402367,3.667597633587335e-07,red,red
0.9999996297918975,3.702081024693381e-07,red,red
0.9999994999252529,5.000747471063884e-07,red,red
0.9999992856650256,7.143349743676704e-07,red,red
0.999999200731529,7.99268470922969e-07,red,red
0.9999990774022722,9.225977277926544e-07,red,red
0.9999978916873044,2.108312695623473e-06,red,red
0.9999972568556402,2.743144359761886e-06,red,red
0.9999968899887152,3.110011284838113e-06,red,red
0.9999964960791329,3.5039208671715064e-06,red,red
0.9999918307959896,8.169204010401326e-06,red,red
0.9999918307959896,8.169204010401326e-06,red,red
0.9999911598946675,8.840105332572834e-06,red,red
0.9999897769835997,1.0223016400311571e-05,red,red
0.9999847900165941,1.5209983405864553e-05,red,red
0.9999832240879516,1.6775912048429416e-05,red,red
0.9999814289926438,1.8571007356280474e-05,red,red
0.9999809727580025,1.902724199757866e-05,red,red
0.999980748590902,1.9251409097982496e-05,red,red
0.9999806703215373,1.9329678462731164e-05,red,red
0.9999768171905296,2.318280947042704e-05,red,red
0.9999758698436908,2.41301563092341e-05,red,red
0.9999731011888288,2.6898811171214508e-05,red,red
0.9999719631449692,2.8036855030782047e-05,red,red
0.9999686485821091,3.135141789088736e-05,red,red
0.9999653137776625,3.468622233749644e-05,red,red
0.9999651027739763,3.489722602363349e-05,red,red
0.9999643391420048,3.566085799520862e-05,red,red
0.9999627446552795,3.725534472048924e-05,red,red
0.9999512738680322,4.872613196781838e-05,red,red
0.99995046926612,4.9530733880029157e-05,red,red
0.9999485021201536,5.149787984637057e-05,red,red
0.9999465396398546,5.346036014541157e-05,red,red
0.9999419811209558,5.801887904418915e-05,red,red
0.9999378480102076,6.215198979246612e-05,red,red
0.9999366720103773,6.332798962269453e-05,red,red
0.9999365406839035,6.345931609650595e-05,red,red
0.9999352286887437,6.477131125627491e-05,red,red
0.9999305263614502,6.94736385497765e-05,red,red
0.9999294534818749,7.054651812511596e-05,red,red
0.999928824368387,7.117563161295619e-05,red,red
0.9999247766689715,7.522333102849703e-05,red,red
0.999923713489862,7.628651013805546e-05,red,red
0.9999182141382429,8.178586175712148e-05,red,red
0.99991628502137,8.371497863001058e-05,red,red
0.9999146499428629,8.53500571371059e-05,red,red
0.999912868419191,8.713158080895985e-05,red,red
0.9999116229482465,8.837705175346253e-05,red,red
0.9999053200240376,9.467997596231073e-05,red,red
0.9999015885438093,9.841145619071865e-05,red,red
0.9998986217584801,0.00010137824151989527,red,red
0.9998963779601017,0.00010362203989837927,red,red
0.9998891465865988,0.00011085341340127607,red,red
0.9998887588334107,0.0001112411665893112,red,red
0.9998887588334107,0.0001112411665893112,red,red
0.9998881698698441,0.00011183013015593614,red,red
0.9998876825847772,0.00011231741522275515,red,red
0.9998876062061933,0.00011239379380667841,red,red
0.9998872681510336,0.00011273184896639664,red,red
0.9998780409658997,0.00012195903410031117,red,red
0.9998748698660781,0.00012513013392194132,red,red
0.9998674648325739,0.000132535167426044,red,red
0.9998592527221085,0.0001407472778914723,red,red
0.999859188635477,0.00014081136452305664,red,red
0.9998528813827426,0.00014711861725730967,red,red
0.9998412856312894,0.00015871436871060004,red,red
0.9998396044597729,0.0001603955402270772,red,red
0.9998386536651568,0.00016134633484323404,red,red
0.9998323846272505,0.00016761537274949417,red,red
0.9998305978689664,0.0001694021310335134,red,red
0.9998226000612395,0.0001773999387605698,red,red
0.9998167976177015,0.00018320238229848322,red,red
0.9998106152477538,0.00018938475224615617,red,red
0.9998105971124542,0.00018940288754577426,red,red
0.9998084576937828,0.0001915423062171526,red,red
0.9997920353334203,0.0002079646665796577,red,red
0.9997874288350224,0.00021257116497764924,red,red
0.9997846803269842,0.00021531967301577888,red,red
0.9997815275225707,0.00021847247742929314,red,red
0.999779529107852,0.0002204708921480402,red,red
0.9997794825313772,0.00022051746862287595,red,red
0.9997697458433406,0.00023025415665948686,red,red
0.9997557096065688,0.0002442903934312339,red,red
0.9997475511994529,0.0002524488005471199,red,red
0.9997430853162543,0.00025691468374570753,red,red
0.9997281395511737,0.0002718604488263538,red,red
0.9997241406526467,0.0002758593473533184,red,red
0.9997241406526467,0.0002758593473533184,red,red
0.9997236117119028,0.0002763882880971241,red,red
0.9997226533143821,0.0002773466856178895,red,red
0.9997207005789314,0.00027929942106860213,red,red
0.9997207005789314,0.00027929942106860213,red,red
0.999717522910552,0.0002824770894479361,red,red
0.9997088388694126,0.0002911611305874031,red,red
0.999705636262153,0.00029436373784699787,red,red
0.9997022249545612,0.00029777504543880725,red,red
0.9997012991748615,0.0002987008251384467,red,red
0.9996915198672117,0.000308480132788243,red,red
0.9996768816331457,0.0003231183668542827,red,red
0.9996736894503355,0.00032631054966452474,red,red
0.9996698791727106,0.00033012082728947715,red,red
0.9996698791727106,0.00033012082728947715,red,red
0.9996678206856839,0.00033217931431604134,red,red
0.9996240563754109,0.00037594362458911193,red,red
0.9995970919166574,0.0004029080833426482,red,red
0.9995945207659518,0.0004054792340482141,red,red
0.9995910832254277,0.00040891677457230045,red,red
0.9995785107852841,0.0004214892147158852,red,red
0.9995777859805817,0.000422214019418283,red,red
0.9995756763758709,0.0004243236241291462,red,red
0.9995756763758709,0.0004243236241291462,red,red
0.9995702827693653,0.0004297172306346901,red,red
0.9995606211893804,0.0004393788106196001,red,red
0.9995591768563844,0.0004408231436156179,red,red
0.9995580460828694,0.0004419539171306416,red,red
0.9995579527270576,0.0004420472729423983,red,red
0.9995572102706737,0.0004427897293263155,red,red
0.9995470097282065,0.0004529902717934485,red,red
0.9995440218621647,0.00045597813783521633,red,red
